csvData,Tipo,Horario,Premio_1,Centena_1,Grupo_1,Bicho_1,Premio_2,Centena_2,Grupo_2,Bicho_2,Premio_3,Centena_3,Grupo_3,Bicho_3,Premio_4,Centena_4,Grupo_4,Bicho_4,Premio_5,Centena_5,Grupo_5,Bicho_5
2024-01-11,PT,14:30,2955,955,14,Gato,2916,916,04,Borboleta,0570,570,18,Porco,3843,843,11,Cavalo,1602,602,01,Avestruz
2024-01-11,PTV,16:30,1043,043,11,Cavalo,7839,839,10,Coelho,6858,858,15,Jacaré,8164,164,16,Leão,1105,105,02,Águia
2024-01-11,PTN,,2563,563,16,Leão,3405,405,02,Águia,6459,459,15,Jacaré,8802,802,01,Avestruz,4610,610,03,Burro
2024-01-11,COR,21:30,2030,030,08,Camelo,2642,642,11,Cavalo,1262,262,16,Leão,7936,936,09,Cobra,3233,233,09,Cobra
2024-01-12,PPT,09:30,6370,370,18,Porco,6894,894,24,Veado,3041,041,11,Cavalo,1281,281,21,Touro,2590,590,23,Urso
2024-01-12,PTM,11:30,0509,509,03,Burro,9998,998,25,Vaca,7554,554,14,Gato,8063,063,16,Leão,7345,345,12,Elefante
2024-01-12,PT,14:30,4407,407,02,Águia,9160,160,15,Jacaré,4848,848,12,Elefante,6760,760,15,Jacaré,9235,235,09,Cobra
2024-01-12,PTV,16:30,9668,668,17,Macaco,7409,409,03,Burro,5849,849,13,Galo,7014,014,04,Borboleta,4776,776,19,Pavão
2024-01-12,PTN,,0618,618,05,Cachorro,6383,383,21,Touro,4795,795,24,Veado,8317,317,05,Cachorro,4468,468,17,Macaco
2024-01-12,COR,21:30,1512,512,03,Burro,5804,804,01,Avestruz,8863,863,16,Leão,0476,476,19,Pavão,2472,472,18,Porco
2024-01-13,PPT,09:30,1204,204,01,Avestruz,3370,370,18,Porco,7202,202,01,Avestruz,6672,672,18,Porco,1010,010,03,Burro
2024-01-13,PTM,11:30,8533,533,09,Cobra,3706,706,02,Águia,1573,573,19,Pavão,8489,489,23,Urso,6571,571,18,Porco
2024-01-13,PT,14:30,5962,962,16,Leão,2533,533,09,Cobra,4188,188,22,Tigre,9791,791,23,Urso,9599,599,25,Vaca
2024-01-13,PTV,16:30,9223,223,06,Cabra,1185,185,22,Tigre,0978,978,20,Peru,8494,494,24,Veado,5365,365,17,Macaco
2024-01-13,FED,,2673,673,19,Pavão,6077,077,20,Peru,5213,213,04,Borboleta,1326,326,07,Carneiro,7138,138,10,Coelho
2024-01-13,COR,21:30,6174,174,19,Pavão,6010,010,03,Burro,7390,390,23,Urso,5239,239,10,Coelho,0082,082,21,Touro
2024-01-14,PPT,09:30,3668,668,17,Macaco,2852,852,13,Galo,8010,010,03,Burro,4099,099,25,Vaca,4902,902,01,Avestruz
2024-01-14,PTM,11:30,7578,578,20,Peru,0107,107,02,Águia,3691,691,23,Urso,1650,650,13,Galo,5628,628,07,Carneiro
2024-01-14,PT,14:30,6898,898,25,Vaca,8166,166,17,Macaco,2891,891,23,Urso,3128,128,07,Carneiro,0388,388,22,Tigre
2024-01-14,PTV,16:30,2692,692,23,Urso,4274,274,19,Pavão,6538,538,10,Coelho,7475,475,19,Pavão,5318,318,05,Cachorro
2024-01-15,PPT,09:30,0634,634,09,Cobra,1620,620,05,Cachorro,1477,477,20,Peru,3849,849,13,Galo,0732,732,08,Camelo
2024-01-15,PTM,11:30,6842,842,11,Cavalo,7503,503,01,Avestruz,5374,374,19,Pavão,4523,523,06,Cabra,3131,131,08,Camelo
2024-01-15,PT,14:30,1455,455,14,Gato,1983,983,21,Touro,2203,203,01,Avestruz,5043,043,11,Cavalo,1486,486,22,Tigre
2024-01-15,PTV,16:30,2113,113,04,Borboleta,6065,065,17,Macaco,4463,463,16,Leão,9365,365,17,Macaco,4536,536,09,Cobra
2024-01-15,PTN,,8505,505,02,Águia,2080,080,20,Peru,8593,593,24,Veado,2683,683,21,Touro,3961,961,16,Leão
2024-01-15,COR,21:30,9100,100,25,Vaca,1839,839,10,Coelho,1454,454,14,Gato,9850,850,13,Galo,6488,488,22,Tigre
2024-01-16,PPT,09:30,1298,298,25,Vaca,1468,468,17,Macaco,7547,547,12,Elefante,0810,810,03,Burro,4130,130,08,Camelo
2024-01-16,PTM,11:30,8944,944,11,Cavalo,0206,206,02,Águia,1612,612,03,Burro,5096,096,24,Veado,0569,569,18,Porco
2024-01-16,PT,14:30,5665,665,17,Macaco,3843,843,11,Cavalo,4855,855,14,Gato,0309,309,03,Burro,6827,827,07,Carneiro
2024-01-16,PTV,16:30,6595,595,24,Veado,5844,844,11,Cavalo,6228,228,07,Carneiro,6252,252,13,Galo,4700,700,25,Vaca
